question,document
Can I create Kestra workflows from my editor using tools like Claude Code or Codex instead of the web UI?,bfe5502c30
"If I already have a Python script, how does Kestra handle it compared with Airflow—does it mix the code with the workflow?",bfe5502c30
"For very simple automations, would Zapier or n8n be a better fit than Kestra, or does Kestra still make sense?",bfe5502c30
"Why does ChatGPT sometimes invent Kestra YAML fields like bucket or name for GCS uploads, and what's the right way to check the actual properties?",93a3e8b98c
"In Kestra, why would a BigQuery load flow use destinationTable instead of separate projectId, dataset, and table fields?",93a3e8b98c
How can I stop an AI tool from giving me invalid Kestra plugin YAML for my current version?,93a3e8b98c
What's the safest way to verify AI-generated Kestra flow YAML before I run it in my environment?,93a3e8b98c
"Do Kestra plugin parameters change between releases, and how can I make sure I'm using the correct ones?",93a3e8b98c
Why do we need to track token usage in Kestra workflows when using LLMs?,a4adc70f41
How does token monitoring help control costs in scheduled or looping AI flows?,a4adc70f41
What’s the point of looking at token counts for each prompt and response?,a4adc70f41
Can Kestra use token usage to warn us if a workflow is getting too expensive?,a4adc70f41
How do you get token usage from an LLM response inside a Kestra task?,a4adc70f41
"Why does Docker Desktop say ""mounts denied"" when I try to run Kestra with a /tmp folder mount?",dd8b4c9fda
What should I change in Docker Desktop if it complains that /tmp or /tmp/kestra-wd is not shared from the host?,dd8b4c9fda
How can I allow Docker to access the host path that Kestra is trying to mount?,dd8b4c9fda
Where do I add /tmp in Docker Desktop so my compose command works again?,dd8b4c9fda
"What’s the fix for the Docker error about a path not being shared from the host, especially when using Kestra?",dd8b4c9fda
"For the Module 3 Kestra homework, what am I supposed to put in the public repo if most of the work was done in the Kestra UI?",f29f622684
"Do I need to upload the actual Kestra flow YAML files for the homework submission, or is a README with my answers enough?",f29f622684
"If I edited any scripts that the Kestra flows call, should those files also go into the homework repo?",f29f622684
Where should I place the Kestra homework files in the repository before submitting the GitHub link?,f29f622684
"What exactly goes in the form for Module 3, and what should be included in the repo link submission?",f29f622684
Why do I keep getting `JSONDecodeError: Expecting value` when I try to parse the LLM response with `json.loads()`?,a3c7e1b4f9
How can I make the model return only valid JSON instead of a markdown code block or extra text?,a3c7e1b4f9
"In the evaluation notebook, what's the recommended way to force the chat completion output to be JSON?",a3c7e1b4f9
What should I put in the prompt so the model returns exactly a JSON object with a `questions` list and nothing else?,a3c7e1b4f9
"Does this JSON-only fix work only with OpenAI, or is there a similar option for other providers too?",a3c7e1b4f9
Why does my Jupyter notebook kernel crash when I try to embed the ground-truth set in the evaluation notebook?,b8f2d6a30c
What can I do if Codespaces or my laptop runs out of memory while loading the embedding model and the notebook?,b8f2d6a30c
"Is there a smaller embedding model I can use instead of the default one, and will that affect the eval results?",b8f2d6a30c
"Can I run the embedding part outside the notebook so it doesn’t kill the kernel, and then reuse the vectors later?",b8f2d6a30c
What’s the best way to handle the ground-truth embeddings in batches and clean up memory to avoid crashes?,b8f2d6a30c
Why am I still getting rate limit errors with Gemini even after adding `time.sleep(4)` between requests?,c1e9f4b820
What should I do if the free Gemini quota gets exhausted while I’m generating the ground-truth data?,c1e9f4b820
Is there a cheaper or easier API option for building the full evaluation dataset without running into limits so fast?,c1e9f4b820
How can I avoid hitting the API too hard when using a thread pool for this task?,c1e9f4b820
What’s the best way to continue the ground-truth generation from where it stopped after a quota error?,c1e9f4b820
How do I fix the WinError 126 fbgemm.dll missing error on Windows when importing torch?,15e931476c
Does this torch error in Windows mean I need to install Visual C++ Redistributable?,15e931476c
"I already have VS Code installed, but torch still says it can't load fbgemm.dll — do I need Visual Studio instead?",15e931476c
What should I do if Python shows 'Error loading fbgemm.dll or one of its dependencies' on Windows 10/11?,15e931476c
Is there a known fix for the PyTorch fbgemm.dll import problem on Windows besides reinstalling torch?,15e931476c
"I'm getting `OperationalError: could not translate host name ""postgres"" to address` when I run `python prep.py`. How can I fix it?",4b65d5542d
"Why does `psycopg2.OperationalError` say it can't resolve the `postgres` host, and what should I change in my `.env` file?",4b65d5542d
"When I start `prep.py`, the database connection fails with a host name error. Should `POSTGRES_HOST` be `postgres` or `localhost`?",4b65d5542d
"How do I update the config so `python prep.py` stops throwing `could not translate host name ""postgres"" to address`?",4b65d5542d
What setting in the `.env` file should I edit if `prep.py` can't find the PostgreSQL host?,4b65d5542d
How do I make Pandas show the full text in a column instead of cutting it off?,641aedbbf5
"In the offline-rag-evaluation notebook, how can I display the complete Explanation field from the judge LLM?",641aedbbf5
"Why does Pandas show only part of a long string in a DataFrame column, and how do I stop that?",641aedbbf5
What setting should I change to see more than 50 characters in a Pandas column?,641aedbbf5
Is there a way to remove the ... and view the whole text in a Pandas output column?,641aedbbf5
How do I normalize a vector stored in a Pandas DataFrame column?,5039707c1a
What’s a simple way to normalize each row value in a Pandas Series?,5039707c1a
Can I use NumPy to normalize vectors inside a DataFrame column?,5039707c1a
How would I create a new column with normalized vectors from an existing one?,5039707c1a
What’s the shortest Pandas apply approach for vector normalization?,5039707c1a
How do I get the 75th percentile from a Pandas DataFrame column?,b4c8ac5a0c
What’s the Pandas way to compute a quantile for a Series?,b4c8ac5a0c
How can I find the 0.75 quantile of a column in a DataFrame?,b4c8ac5a0c
Is there a simple function in Pandas for percentile calculation on one column?,b4c8ac5a0c
"How do I calculate a percentile value from df[""col""] in Python?",b4c8ac5a0c
"How do I delete every Docker container from the terminal, even the ones still running?",66ccbb7da0
What’s the command to remove all Docker images at once using the CLI?,66ccbb7da0
How can I wipe out all Docker volumes from the command line?,66ccbb7da0
"Is there a quick way to force-remove all containers, images, and volumes in Docker?",66ccbb7da0
What terminal commands should I run if I want to clean up all Docker stuff completely?,66ccbb7da0
How can I make sure users can only leave feedback once per submission in Streamlit?,2e729f1271
Why does `st.session.submitted` keep getting set back to True after I press a feedback button?,2e729f1271
"In my app, I want the +1/-1 buttons to stay disabled after asking a question — what am I missing?",2e729f1271
What’s the fix for Streamlit session state being reassigned even after feedback is clicked?,2e729f1271
Is there a known solution for `st.session.submitted` changing again when using ask and feedback buttons?,2e729f1271
"Why do I get ""exec: streamlit: executable file not found in $PATH"" when I start my Streamlit app with docker-compose, even though it works normally outside Docker?",e8df9f0d12
What do I need to add so Streamlit works correctly in my docker-compose setup?,e8df9f0d12
Do I have to create a Dockerfile for a Streamlit app before running it with docker-compose?,e8df9f0d12
"After fixing my compose file, what command should I use to rebuild the container and start everything again?",e8df9f0d12
My Streamlit app runs locally but fails in docker-compose with an OCI runtime error — what’s the usual fix?,e8df9f0d12
"Is the capstone project supposed to be done solo, or can we team up with other students?",0fab61eca2
"If a few of us work on the same system, is that allowed for the capstone as long as each person has their own part?",0fab61eca2
Can I discuss the capstone idea with classmates and still submit my own project separately?,0fab61eca2
What happens if our shared project can't be checked individually for each person?,0fab61eca2
Do I need a separate repository and a clearly independent component for my capstone submission?,0fab61eca2
"For the capstone, do I need to turn in two different projects, or is one enough?",d5fc98925d
What exactly do attempt 1 and attempt 2 mean for the project submission?,d5fc98925d
"If my first project submission gets rejected, can I fix it and send it again later?",d5fc98925d
"If I miss the first submission window, do I still have a chance to submit in the second one?",d5fc98925d
"Can I submit two projects just for practice, and if so, do they need to be on different datasets and tasks?",d5fc98925d
"Is the competition itself considered the capstone project, or is it separate?",e892d44e42
Can I count the math-kaggle-llm competition toward my capstone requirement?,e892d44e42
"If I join the competition with a team, does that replace the individual capstone?",e892d44e42
Is the capstone supposed to be done alone even if I participate in the competition with others?,e892d44e42
"Can I do the competition as a group, and still have to submit an individual capstone?",e892d44e42
How will my capstone project be graded in the course?,9a2e2d2008
Who is supposed to review my project after I submit it?,9a2e2d2008
Do I also need to grade other students’ capstone projects?,9a2e2d2008
What happens if I don’t review the required number of peer projects?,9a2e2d2008
How is the final score for the capstone calculated from the peer reviews?,9a2e2d2008
When do we get assigned the projects that we need to review and grade?,eae0fb50aa
How are the review/grading projects distributed among participants after the deadline?,eae0fb50aa
Will there be a spreadsheet with the assigned projects for each person?,eae0fb50aa
How many projects will each participant be given to evaluate?,eae0fb50aa
What happens once the submission deadline is over for capstone project grading?,eae0fb50aa
"I already turned in my project, so why am I still not seeing anything to review?",a8a7fef016
When do the projects get assigned to us for evaluation after the deadline?,a8a7fef016
"Can I pick which capstone projects I want to review, or is it assigned automatically?",a8a7fef016
Is there a way to start reviewing projects before the review list is released?,a8a7fef016
"After the submission deadline is over, what happens before I can evaluate other projects?",a8a7fef016
Where can I find some project ideas and datasets for the capstone?,e76a70cde3
Is there a GitHub page with suggestions for datasets I can use in the project?,e76a70cde3
I'm looking for ideas for the final project — where should I start?,e76a70cde3
Are there any tips or guidelines for choosing a dataset for the capstone project?,e76a70cde3
Can you point me to a page with possible project topics and data sources?,e76a70cde3
"Do I actually need Airflow, Mage, or Kestra for the capstone project, or is a regular Python script enough?",d4f7c08ea1
"For the ingestion pipeline part of the capstone, would a Jupyter notebook still count, and if so, how many points is it worth?",d4f7c08ea1
"Should I add an orchestrator to my project just to get the ingestion pipeline points, or is that unnecessary?",d4f7c08ea1
When would it make sense to use an orchestration tool in the capstone instead of just using a simple script?,d4f7c08ea1
"If my data source updates every day, is that a good reason to use an orchestrator in the capstone project?",d4f7c08ea1
How can I evaluate a recommender-style RAG project when I don't have any clear question-answer ground truth?,9b0e2d6a47
What's a good way to create synthetic test queries for each item so I can measure retrieval quality in a recommendation RAG?,9b0e2d6a47
"For ranking-style RAG tasks, should I use hit rate or NDCG, and why would one be better than the other?",9b0e2d6a47
How do people use an LLM as a judge to score the end-to-end quality of a RAG recommender system?,9b0e2d6a47
"If multiple items in the search results are acceptable, how can I measure whether my RAG is actually ranking the best ones near the top?",9b0e2d6a47
"For a big set of PDFs with lots of text, what's a sensible way to chunk them before indexing?",6f2a8b3d10
"Should I start with a fancy chunking method, or is it better to begin with something simple and improve it later?",6f2a8b3d10
Is it worth using an LLM to split documents into sections instead of just slicing by token count?,6f2a8b3d10
"Would adding short summaries to each chunk help retrieval, or is that overkill?",6f2a8b3d10
"For structured docs like legal or financial PDFs, should I use BM25 plus embeddings, and which PDF parsing tools are good for cleaning them first?",6f2a8b3d10
"In the capstone project, what counts as reproducible exactly — do reviewers need my API keys to run it?",e5d8a2c761
How should I set up the repo so someone can clone it and rebuild the search index from scratch?,e5d8a2c761
"What’s the right way to handle secrets in the project, like keys for OpenAI or other hosted services?",e5d8a2c761
"Should I include a .env file in the repo, or is there a better pattern for sharing environment variables?",e5d8a2c761
"What should I pin or document so the project works the same way on another machine, like dependency versions and Python or Docker?",e5d8a2c761
Is it okay if I do the homework in JavaScript or do you want everything in Python?,ea815eb858
"Can I build the capstone project with Go, Rust, or TypeScript instead of Python?",ea815eb858
"If I use a non-Python stack for the project, what should I include in the README so the reviewer can run it?",ea815eb858
Why is Python recommended for the homework and final project in this course?,ea815eb858
What does a reproducible submission need to look like if I don't use Python?,ea815eb858
Where do I check out past LLM Zoomcamp capstone projects?,930286278d
Is there a page with previous project submissions from LLM Zoomcamp?,930286278d
Can I see what students built for the LLM Zoomcamp capstone before starting mine?,930286278d
Where are the 2024 and 2025 LLM Zoomcamp project repositories listed?,930286278d
Is there an archive or gallery of earlier LLM Zoomcamp projects I can look at?,930286278d
Do I need to reserve my capstone project idea before I start it?,897a350476
Is there any announcement needed for a project topic in the capstone?,897a350476
Can I get feedback on my project idea somewhere before I begin?,897a350476
Is it okay if my capstone topic is similar to another student's or a past project?,897a350476
Where can I look at previous capstone projects to judge if my idea is within the right scope?,897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a website?,7318a90b14
"Is a web app required for the project, or can I use another kind of interface?",7318a90b14
"Would a CLI, Slack app, or notebook be acceptable for the capstone project?",7318a90b14
Are there any strict rules about how the end user should access the project?,7318a90b14
"Does the course show how to create these interfaces, or do I need to handle that myself?",7318a90b14
"What’s the best tool for pulling text out of PDFs for a RAG app, or is there no official one from the course?",d8b28c47a0
"If my PDFs are scanned images with no text layer, what should I use to OCR them before building the vector store?",d8b28c47a0
"Should I go with docling, PyMuPDF, or unstructured for document extraction in the capstone, and how do I choose between them?",d8b28c47a0
Can I use a hosted OCR API like Mistral OCR instead of running Tesseract locally for my project?,d8b28c47a0
"After I extract text from PDFs, what’s the next step for preparing the docs for RAG?",d8b28c47a0
Can I use this workshop content in my own capstone project?,d850a0e7ea
Is it okay to reuse the dlt workshop materials for other Zoomcamp projects too?,d850a0e7ea
Can I take what we learned here and apply it directly in my own project?,d850a0e7ea
"Since dlt is open source, does that mean I’m allowed to use the workshop stuff in other work?",d850a0e7ea
Are we free to ask questions and use this material in our projects?,d850a0e7ea
How do I create a new dlt project for loading data from cloud storage?,6bceeebf04
What command should I run to initialize a filesystem source with duckdb in dlt?,6bceeebf04
I’m starting a fresh dlt ingestion project from cloud files — what’s the setup command?,6bceeebf04
How can I bootstrap a dlt pipeline for filesystem data into duckdb?,6bceeebf04
Is there a quick way to initialize dlt for a cloud/filesystem tutorial?,6bceeebf04
"Why do I get `Table notion_pages___homework does not exist` when I run `db.open_table(""notion_pages___homework"")`?",0407213397
What should I check in my pipeline if the table says it doesn't exist after opening it?,0407213397
"I changed the table name to homework, but `db.create_table(...)` still seems to fail. Could there be another old name somewhere?",0407213397
"When using the dlt workshop code, what causes the `FileNotFoundError` for `notion_pages___homework`?",0407213397
Do I need to replace every `employee_handbook` reference with `homework` in the pipeline settings for the table to be found?,0407213397
Why do I get FileNotFoundError saying the notion_pages___homework table does not exist when I run main()?,e95bfafc0e
What should I change in line 3 if open_table is failing for notion_pages___homework?,e95bfafc0e
How do I fix the issue where db.create_table is requested instead of opening the table for the homework dataset?,e95bfafc0e
Is the problem that I'm pointing to the wrong table name in the dlt workshop code?,e95bfafc0e
What is the correct way to open the notion_pages___homework table in the script?,e95bfafc0e
How can I see all the tables that exist in the database?,e394e6f738
What method should I use to list the tables in my db?,e394e6f738
Is there a way to check which tables are already in the database?,e394e6f738
How do I get the names of all tables in a database using dlt?,e394e6f738
Which function returns the table names in the db?,e394e6f738
"Does DLT already support ClickHouse or StarRocks connectors, or is that not available yet?",cd19f122f3
Are there any built-in DLT connectors for ClickHouse or StarRocks right now?,cd19f122f3
"Can I use DLT with ClickHouse or StarRocks, or do I need to build something myself?",cd19f122f3
"Is there a connector in DLT for ClickHouse or StarRocks, and if not, is the community working on it?",cd19f122f3
"Why isn’t ClickHouse or StarRocks supported in DLT yet, and can people contribute a connector?",cd19f122f3
Why am I getting a 401 Unauthorized error when the notebook tries to call the Notion search endpoint?,0dfba07ace
How can I tell if my Notion API token is the problem when the notebook says it has no secret access?,0dfba07ace
What should I check first if the notebook fails with an authorization error against api.notion.com/v1/search?,0dfba07ace
"Could this 401 error be caused by an expired Notion token, and how do I fix it?",0dfba07ace
What setup or permission issues usually cause Notion API access to fail in this workshop notebook?,0dfba07ace
"Why am I getting a 401 Client Error when trying to use this setup, and could it be related to my key or access permissions?",4b30b918bc
What should I do if my requests install keeps ending up at v2.28 instead of the newer version lancedb wants?,4b30b918bc
Is there a way to force pip to install requests v2.32.3 directly from the source zip instead of the older version?,4b30b918bc
"Could this error mean my API key is wrong, or do I need to grant access somewhere first?",4b30b918bc
What exact pip command should I run to install requests 2.32.3 for this workshop?,4b30b918bc
